"Company History",Histórico da Empresa
Request Body,Corpo da requisição
Request Description,Descrição da requisição
Request Headers,Cabeçalhos da requisição
Request ID,ID da requisição
Request Limit,Limite de requisição
Request Method,Método da requisição
Request Timed Out,Tempo da requisição esgotado
Request Timeout,Tempo limite da requisição
Requested Numbers,Números solicitados
Res: {0},Res: {0}
Reset,Redefinir
Reset All,Redefinir tudo
Reset All Customizations,Redefinir todas as personalizações
Reset Changes,Redefinir alterações
Reset Chart,Redefinir gráfico
Reset Dashboard Customizations,Redefinir personalizações do painel
Reset LDAP Password,Redefinir senha LDAP
Reset Layout,Redefinir layout
Reset OTP Secret,Redefinir segredo OTP
Reset Password Link Expiry Duration,Duração de expiração do link de redefinição de senha
Reset Password Template,Modelo de redefinição de senha
Reset Permissions for {0}?,Redefinir permissões de {0}?
Reset To Default,Redefinir para o padrão
Reset sorting,Redefinir ordenação
Reset to defaults,Redefinir para os padrões
Reset your password,Redefina sua senha
Resource,Recurso
Resource Documentation,Documentação do recurso
Resource Name,Nome do recurso
Response Headers,Cabeçalhos da resposta
Response Type,Tipo de resposta
Rest of the day,Restante do dia
Restore Original Permissions,Restaurar permissões originais
Restore to default settings?,Restaurar para as configurações padrão?
Restoring Deleted Document,Restaurando documento excluído
Restrictions,Restrições
Result,Resultado
Resume Sending,Retomar envio
Retry,Tentar novamente
Retry Sending,Tentar envio novamente
Revoke,Revogar
Rich Text,Rich Text
Right Bottom,Inferior direito
Right Center,Centro direito
Robots.txt,Robots.txt
Role Permission for Page and Report,Permissão de perfil para página e relatório
Role Permissions,Permissões de perfil
Role Profile,Perfil de função
Route,Rota
Route Options,Opções de rota
Row,Linha
Row #,Linha #
Row #{0}:,Linha #{0}:
Row Format,Formato da linha
Row Number,Número da linha
Row Values Changed,Valores da linha alterados
Row {0},Linha {0}
Rows Added,Linhas adicionadas
Runtime in Minutes,Tempo de execução em minutos
Runtime in Seconds,Tempo de execução em segundos
SMS,SMS
SMS Gateway URL,URL do gateway SMS
SMS Log,Log de SMS
SMS Parameter,Parâmetro de SMS
SMS Settings,Configurações de SMS
SMS sent successfully,SMS enviado com sucesso
SMS was not sent. Please contact Administrator.,O SMS não foi enviado. Entre em contato com o Administrador.
SMTP Server is required,O servidor SMTP é obrigatório
SQL,SQL
SQL Explain,SQL Explain
SQL Output,Saída SQL
SQL Queries,Consultas SQL
Sales Manager,Gerente de vendas
Sales Master Manager,Gerente mestre de vendas
Sales User,Usuário de vendas
"Sales without complexity, lock-in and per-user costs. Try it for free!","Vendas sem complexidade, dependência e custos por usuário. Experimente grátis!"
Save Anyway,Salvar assim mesmo
Save As,Salvar como
Save Customizations,Salvar personalizações
Save Report,Salvar relatório
Save filters,Salvar filtros
Save on Completion,Salvar ao concluir
Save the document.,Salve o documento.
Saved,Salvo
Saving,Salvando
Saving Changes...,Salvando alterações...
Saving Customization...,Salvando personalização...
Saving Sidebar,Salvando barra lateral
Saving...,Salvando...
Scan,Escanear
Scan QRCode,Escanear QR Code
Scan the QR Code and enter the resulting code displayed.,Escaneie o QR Code e informe o código exibido.
Schedule,Agendar
Scheduled,Agendado
Scheduled Against,Agendado para
Scheduled to send,Agendado para envio
Scheduler Event,Evento do agendador
Scheduler Inactive,Agendador inativo
Scheduler can not be re-enabled when maintenance mode is active.,O agendador não pode ser reativado enquanto o modo de manutenção estiver ativo.
Scheduler is inactive. Cannot import data.,O agendador está inativo. Não é possível importar dados.
Scheduler: Active,Agendador: ativo
Scheduler: Inactive,Agendador: inativo
Scope,Escopo
Scopes,Escopos
Scopes Supported,Escopos suportados
Script,Script
Script Manager,Gerente de scripts
Script Report,Relatório de script
Script Type,Tipo de script
Scripting,Script
Scripts,Scripts
Search Results,Resultados da pesquisa
Search by filename or extension,Pesquisar por nome de arquivo ou extensão
Search field {0} is not valid,O campo de pesquisa {0} não é válido
Search fields,Campos de pesquisa
Search for anything,Pesquisar qualquer coisa
Search for countries...,Pesquisar países...
Search for icons...,Pesquisar ícones...
Search for {0},Pesquisar por {0}
Search results for,Resultados da pesquisa por
Search...,Pesquisar...
Searching ...,Pesquisando ...
Seconds,Segundos
Section Heading,Cabeçalho da seção
Section ID,ID da seção
Section Title,Título da seção
Section must have at least one column,A seção deve ter pelo menos uma coluna
Security Alert: Your account is being impersonated,Alerta de segurança: sua conta está sendo personificada
See all Activity,Ver toda a atividade
See on Website,Ver no site
See previous responses,Ver respostas anteriores
See the document at {0},Veja o documento em {0}
Seen,Visto
Select,Selecionar
Select Child Table,Selecionar tabela filha
Select Column,Selecionar coluna
Select Columns,Selecionar colunas
Select Country,Selecionar país
Select Currency,Selecionar moeda
Select Dashboard,Selecionar painel
Select DocType,Selecionar DocType
Select Doctype,Selecionar Doctype
Show sidebar,Mostrar barra lateral
