Email Unsubscribe,Cancelar inscrição de e-mail
If Owner,Se proprietário
"If a Role does not have access at Level 0, then higher levels are meaningless.","Se um Perfil não tiver acesso no Nível 0, então níveis superiores não têm efeito."
"If checked, a confirmation will be required before performing workflow actions.","Se marcado, será necessária uma confirmação antes de executar ações de fluxo de trabalho."
"If checked, negative numeric values of Currency, Quantity or Count would be shown as positive","Se marcado, valores numéricos negativos de Moeda, Quantidade ou Contagem serão exibidos como positivos"
"If checked, users will not see the Confirm Access dialog.","Se marcado, os usuários não verão o diálogo Confirmar Acesso."
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Se habilitado, o usuário pode fazer login de qualquer endereço IP usando autenticação de dois fatores; isso também pode ser definido para todos os usuários em Configurações do Sistema"
"If enabled, all responses on the web form will be submitted anonymously","Se habilitado, todas as respostas no formulário web serão enviadas anonimamente"
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","Se habilitado, todos os usuários podem fazer login de qualquer endereço IP usando autenticação de dois fatores. Isso também pode ser definido apenas para usuário(s) específico(s) na página de Usuário"
"If enabled, only System Managers can upload public files. Other users can't see the checkbox <i>Is Private</i> in the upload dialog.","Se habilitado, apenas Gestores do Sistema podem fazer upload de arquivos públicos. Outros usuários não conseguem ver a opção <i>Is Private</i> no diálogo de upload."
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 1 being very weak and 4 being very strong.","Se habilitado, a força da senha será aplicada com base no valor de Pontuação Mínima de Senha. Um valor de 1 é muito fraco e 4 é muito forte."
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Se habilitado, usuários que fizerem login de endereço IP restrito não serão solicitados para autenticação de dois fatores"
"If set, only user with these roles can access this chart. If not set, DocType or Report permissions will be used.","Se definido, apenas usuários com estes perfis podem acessar este gráfico. Se não definido, permissões de DocType ou Relatório serão usadas."
"If the user enables the mask property for the phone number field, the value will be displayed in a masked format (e.g., 811XXXXXXX).","Se o usuário habilitar a propriedade de máscara para o campo de número de telefone, o valor será exibido em formato mascarado (ex.: 811XXXXXXX)."
"If the user has access to Employee and Report is enabled, they can view Employee-based reports.","Se o usuário tiver acesso a Funcionário e Relatório estiver habilitado, ele poderá visualizar relatórios baseados em Funcionário."
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","Se estas instruções não foram úteis, adicione suas sugestões no GitHub Issues."
"If this was a mistake or you need access again, please reach out to your team.","Se isso foi um engano ou você precisar de acesso novamente, entre em contato com sua equipe."
"If unchecked, the value will always be re-fetched on save.","Se desmarcado, o valor sempre será buscado novamente ao salvar."
"If you are updating, please select \"Overwrite\" else existing rows will not be deleted.","Se estiver atualizando, selecione \"Overwrite\", caso contrário as linhas existentes não serão excluídas."
"If you are uploading new records, \"Naming Series\" becomes mandatory, if present.","Se estiver enviando novos registros, \"Naming Series\" se torna obrigatório, se presente."
"If you are uploading new records, leave the \"name\" (ID) column blank.","Se estiver enviando novos registros, deixe a coluna \"name\" (ID) em branco."
"If you have any questions, reach out to your system administrator.","Se tiver alguma dúvida, entre em contato com o administrador do sistema."
"If you have recently restored the site, you may need to copy the site_config.json containing the original encryption key.","Se você restaurou o site recentemente, pode ser necessário copiar o site_config.json que contém a chave de criptografia original."
"If you set this, this Item will come in a drop-down under the selected parent.","Se você definir isto, este Item aparecerá em uma lista suspensa sob o item pai selecionado."
"If you think this is unauthorized, please change the Administrator password.","Se você acredita que isso não é autorizado, altere a senha do Administrador."
"If your CSV uses a different delimiter, add that character here, ensuring no spaces or additional characters are included.","Se seu CSV usa um delimitador diferente, adicione esse caractere aqui, garantindo que não haja espaços ou caracteres adicionais."
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Se seus dados estiverem em HTML, copie e cole o código HTML exato com as tags."
Ignore User Permissions,Ignorar Permissões de Usuário
Illegal Document Status for {0},Status de documento inválido para {0}
Illegal SQL Query,Consulta SQL inválida
Illegal template,Modelo inválido
Image Height (px),Altura da imagem (px)
Image View,Visualização da imagem
Image Width (px),Largura da imagem (px)
Image field must be a valid fieldname,O campo de imagem deve ser um fieldname válido
Image field must be of type Attach Image,O campo de imagem deve ser do tipo Anexar Imagem
Image link '{0}' is not valid,Link de imagem '{0}' não é válido
Image optimized,Imagem otimizada
Image: Corrupted Data Stream,Imagem: fluxo de dados corrompido
Images,Imagens
Impersonated by {0},Personificado por {0}
Impersonating {0},Personificando {0}
Global Search Settings,Configurações da Busca Global
Implement `clear_old_logs` method to enable auto error clearing.,Implemente o método `clear_old_logs` para habilitar limpeza automática de erros.
Import Email From,Importar e-mail de
Import Log,Log de importação
Import Progress,Progresso da importação
Import Subscribers,Importar assinantes
Import Type,Tipo de importação
Import Zip,Importar ZIP
"Import template should be of type .csv, .xlsx or .xls","O modelo de importação deve ser do tipo .csv, .xlsx ou .xls"
Import template should contain a Header and atleast one row.,O modelo de importação deve conter um cabeçalho e pelo menos uma linha.
"Import timed out, please re-try.","A importação expirou, tente novamente."
Importing {0} is not allowed.,Não é permitido importar {0}.
Importing {0} of {1},Importando {0} de {1}
"Importing {0} of {1}, {2}","Importando {0} de {1}, {2}"
In Grid View,Na visualização em grade
In List Filter,No filtro de lista
In List View,Na visualização de lista
In Minutes,Em minutos
In Read Only Mode,Em modo somente leitura
Inbox,Caixa de entrada
Inbox User,Usuário da caixa de entrada
Inbox View,Visualização da caixa de entrada
Include Disabled,Incluir desativados
Include Name Field,Incluir campo Nome
Include Theme from Apps,Incluir tema dos aplicativos
Include Web View Link in Email,Incluir link da visualização web no e-mail
Include filters,Incluir filtros
Include hidden columns,Incluir colunas ocultas
Include indentation,Incluir indentação
"Include symbols, numbers and capital letters in the password","Incluir símbolos, números e letras maiúsculas na senha"
Incoming Settings,Configurações de entrada
Incoming email account not correct,Conta de e-mail de entrada incorreta
Incomplete Virtual Doctype Implementation,Implementação incompleta de Doctype Virtual
Incomplete login details,Detalhes de login incompletos
Incorrect Configuration,Configuração incorreta
Incorrect URL,URL incorreta
Incorrect User or Password,Usuário ou senha incorretos
Incorrect Verification code,Código de verificação incorreto
Incorrect value in row {0}:,Valor incorreto na linha {0}:
Incorrect value:,Valor incorreto:
Indent,Recuo
Index,Índice
Index Web Pages for Search,Indexar páginas web para busca
Index created successfully on column {0} of doctype {1},Índice criado com sucesso na coluna {0} do doctype {1}
Indexing authorization code,Código de autorização de indexação
Indexing refresh token,Token de atualização de indexação
Indicator Color,Cor do indicador
Indicator color,Cor do indicador
Info:,Informação:
InnoDB,InnoDB
Input existing role name if you would like to extend it with access of another role.,Informe um perfil existente se quiser estendê-lo com o acesso de outro perfil.
Insert,Inserir
Insert After,Inserir após
Insert After cannot be set as {0},Inserir após não pode ser definido como {0}
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","O campo Insert After '{0}' mencionado no Campo Personalizado '{1}', com rótulo '{2}', não existe"
Insert Column Before {0},Inserir coluna antes de {0}
Insert Image in Markdown,Inserir imagem em Markdown
Instagram,Instagram
Install {0} from Marketplace,Instalar {0} do Marketplace
Installed Application,Aplicativo instalado
Installed Applications,Aplicativos instalados
Installed Apps,Apps instalados
Instructions,Instruções
Instructions Emailed,Instruções enviadas por e-mail
Insufficient Permission Level for {0},Nível de permissão insuficiente para {0}
Insufficient Permission for {0},Permissão insuficiente para {0}
Insufficient Permissions for deleting Report,Permissões insuficientes para excluir Relatório
Insufficient Permissions for editing Report,Permissões insuficientes para editar Relatório
Insufficient attachment limit,Limite de anexos insuficiente
Integration Request,Solicitação de integração
Integrations can use this field to set email delivery status,Integrações podem usar este campo para definir o status de entrega de e-mail
Inter,Inter
Intermediate,Intermediário
Internal Server Error,Erro interno do servidor
Internal record of document shares,Registro interno de compartilhamentos de documentos
Interval,Intervalo
Intro Video URL,URL do vídeo de introdução
Introduction,Introdução
Introspection URI,URI de introspecção
Invalid,Inválido
Invalid "depends_on" expression,Expressão "depends_on" inválida
Invalid "depends_on" expression set in filter {0},Expressão "depends_on" inválida definida no filtro {0}
Invalid "mandatory_depends_on" expression,Expressão "mandatory_depends_on" inválida
Invalid Action,Ação inválida
Invalid CSV Format,Formato CSV inválido
Invalid Code. Please try again.,Código inválido. Tente novamente.
Invalid Condition: {},Condição inválida: {}
Invalid Credentials,Credenciais inválidas
Invalid Credentials for Email Account: {0},Credenciais inválidas para a Conta de E-mail: {0}
Invalid Date,Data inválida
Invalid DocType,DocType inválido
Invalid DocType: {0},DocType inválido: {0}
Invalid Doctype,Doctype inválido
Invalid Fieldname,Fieldname inválido
Invalid File URL,URL de arquivo inválida
Invalid Filter,Filtro inválido
Invalid Filter Format for field {0} of type {1}. Try using filter icon on the field to set it correctly,Formato de filtro inválido para o campo {0} do tipo {1}. Tente usar o ícone de filtro no campo para defini-lo corretamente
Invalid Filter Value,Valor de filtro inválido
Invalid Home Page,Página inicial inválida
Invalid Login Token,Token de login inválido
"Invalid Mail Server. Please rectify and try again.","Servidor de e-mail inválido. Corrija e tente novamente."
Invalid Naming Series: {},Série de nomenclatura inválida: {}
Invalid Operation,Operação inválida
Invalid Option,Opção inválida
Invalid Outgoing Mail Server or Port: {0},Servidor ou porta de e-mail de saída inválido: {0}
Invalid Output Format,Formato de saída inválido
Invalid Override,Sobrescrita inválida
Invalid Parameters.,Parâmetros inválidos.
Invalid Password,Senha inválida
Invalid Phone Number,Número de telefone inválido
Invalid Search Field {0},Campo de busca inválido {0}
Invalid Table Fieldname,Fieldname de tabela inválido
Invalid Transition,Transição inválida
Invalid URL,URL inválida
"Invalid User Name or Support Password. Please rectify and try again.","Nome de usuário ou senha de suporte inválidos. Corrija e tente novamente."
Invalid Values,Valores inválidos
Invalid Webhook Secret,Segredo de webhook inválido
Invalid aggregate function,Função de agregação inválida
"Invalid alias format: {0}. Alias must be a simple identifier.","Formato de alias inválido: {0}. O alias deve ser um identificador simples."
Invalid app,App inválido
"Invalid argument format: {0}. Only quoted string literals or simple field names are allowed.","Formato de argumento inválido: {0}. Apenas literais de string entre aspas ou nomes de campo simples são permitidos."
"Invalid argument type: {0}. Only strings, numbers, dicts, and None are allowed.","Tipo de argumento inválido: {0}. Apenas strings, números, dicts e None são permitidos."
"Invalid characters in fieldname: {0}. Only letters, numbers, and underscores are allowed.","Caracteres inválidos no fieldname: {0}. Apenas letras, números e sublinhados são permitidos."
Invalid column,Coluna inválida
Invalid condition type in nested filters: {0},Tipo de condição inválido em filtros aninhados: {0}
Invalid direction in Order By: {0}. Must be 'ASC' or 'DESC'.,Direção inválida em Order By: {0}. Deve ser 'ASC' ou 'DESC'.
Invalid docstatus,Docstatus inválido
Invalid expression in Workflow Update Value: {0},Expressão inválida em Workflow Update Value: {0}
Invalid expression set in filter {0},Expressão inválida definida no filtro {0}
Invalid expression set in filter {0} ({1}),Expressão inválida definida no filtro {0} ({1})
"Invalid field format for SELECT: {0}. Field names must be simple, backticked, table-qualified, aliased, or '*'.","Formato de campo inválido para SELECT: {0}. Os nomes de campo devem ser simples, entre crases, qualificados por tabela, com alias ou '*'."
"Invalid field format in {0}: {1}. Use 'field', 'link_field.field', or 'child_table.field'.","Formato de campo inválido em {0}: {1}. Use 'field', 'link_field.field' ou 'child_table.field'."
Invalid field name {0},Nome de campo inválido {0}
Invalid field type: {0},Tipo de campo inválido: {0}
Invalid fieldname '{0}' in autoname,Fieldname inválido '{0}' no autoname
Invalid file path: {0},Caminho de arquivo inválido: {0}
Invalid filter condition: {0}. Expected a list or tuple.,Condição de filtro inválida: {0}. Era esperada uma lista ou tupla.
Invalid filter field format: {0}. Use 'fieldname' or 'link_fieldname.target_fieldname'.,Formato de campo de filtro inválido: {0}. Use 'fieldname' ou 'link_fieldname.target_fieldname'.
Invalid filter: {0},Filtro inválido: {0}
"Invalid function argument type: {0}. Only strings, numbers, lists, and None are allowed.","Tipo de argumento de função inválido: {0}. Apenas strings, números, listas e None são permitidos."
Invalid input,Entrada inválida
Invalid json added in the custom options: {0},JSON inválido adicionado nas opções personalizadas: {0}
Invalid key,Chave inválida
Invalid name type (integer) for varchar name column,Tipo de nome inválido (inteiro) para coluna de nome varchar
Invalid naming series {}: dot (.) missing,Série de nomenclatura inválida {}: ponto (.) ausente
Invalid naming series {}: dot (.) missing before the numeric placeholders. Kindly use a format like <b>ABCD.#####</b>.,Série de nomenclatura inválida {}: ponto (.) ausente antes dos placeholders numéricos. Use um formato como <b>ABCD.#####</b>.
Invalid nested expression: dictionary must represent a function or operator,Expressão aninhada inválida: o dicionário deve representar uma função ou operador
Invalid or corrupted content for import,Conteúdo inválido ou corrompido para importação
Invalid redirect regex in row #{}: {},Regex de redirecionamento inválida na linha #{}: {}
Invalid request arguments,Argumentos de requisição inválidos
Invalid request body,Corpo da requisição inválido
Invalid role,Perfil inválido
Invalid simple filter format: {0},Formato de filtro simples inválido: {0}
Invalid start for filter condition: {0}. Expected a list or tuple.,Início inválido para condição de filtro: {0}. Era esperada uma lista ou tupla.
Invalid template file for import,Arquivo de modelo inválido para importação
Invalid token state! Check if the token has been created by the OAuth user.,Estado de token inválido! Verifique se o token foi criado pelo usuário OAuth.
Invalid username or password,Usuário ou senha inválidos
Invalid value specified for UUID: {},Valor inválido especificado para UUID: {}
Invalid values for fields:,Valores inválidos para os campos:
Invalid wkhtmltopdf version,Versão inválida do wkhtmltopdf
Invalid {0} condition,Condição {0} inválida
Invalid {0} dictionary format,Formato de dicionário {0} inválido
Invitation already accepted,Convite já aceito
Invitation already exists,Convite já existe
Invitation cannot be cancelled,O convite não pode ser cancelado
Invitation is cancelled,O convite está cancelado
Invitation is expired,O convite expirou
Invitation not found,Convite não encontrado
Invitation to join {0} cancelled,Convite para participar de {0} cancelado
Invitation to join {0} expired,Convite para participar de {0} expirado
Invite as User,Convidar como Usuário
Is Active,Está ativo
Is Calendar and Gantt,É Calendário e Gantt
Is Child Table,É tabela filha
Is Dynamic URL?,É URL dinâmica?
Is Global,É global
Is Hidden,Está oculto
Is Home Folder,É pasta inicial
Is Primary Address,É endereço principal
Is Published Field must be a valid fieldname,O campo Is Published deve ser um fieldname válido
Is Query Report,É relatório de consulta
Is Remote Request?,É requisição remota?
Is Setup Complete?,A configuração está concluída?
Is Single,É único
Is Spam,É spam
Is Submittable,É enviável
Is System Generated,É gerado pelo sistema
Is Table Field,É campo de tabela
Is Virtual,É virtual
Is standard,É padrão
It is risky to delete this file: {0}. Please contact your System Manager.,É arriscado excluir este arquivo: {0}. Entre em contato com seu Gestor do Sistema.
It is too late to undo this email. It is already being sent.,É tarde demais para desfazer este e-mail. Ele já está sendo enviado.
Item Label,Rótulo do item
Item Type,Tipo de item
Item cannot be added to its own descendants,O item não pode ser adicionado aos próprios descendentes
JS,JS
JS Message,Mensagem JS
JSON,JSON
Jane Doe,Jane Doe
JavaScript,JavaScript
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},Formato JavaScript: frappe.query_reports['REPORTNAME'] = {}
Javascript,Javascript
Javascript is disabled on your browser,O Javascript está desativado no seu navegador
Jinja,Jinja
Job ID,ID da tarefa
Job Id,Id da tarefa
Job Info,Informações da tarefa
Job Name,Nome da tarefa
Job Status,Status da tarefa
Job Stopped Successfully,Tarefa interrompida com sucesso
Job is in {0} state and can't be cancelled,A tarefa está no estado {0} e não pode ser cancelada
Job is not running.,A tarefa não está em execução.
Job stopped successfully,Tarefa interrompida com sucesso
Join video conference with {0},Entrar na videoconferência com {0}
K,K
Kanban,Kanban
Kanban Board,Quadro Kanban
Kanban Board Column,Coluna do quadro Kanban
Kanban Board Name,Nome do quadro Kanban
Kanban Settings,Configurações do Kanban
Keep Closed,Manter fechado
Keep track of all update feeds,Acompanhar todos os feeds de atualização
Keyboard Shortcuts,Atalhos de teclado
Keycloak,Keycloak
Knowledge Base,Base de conhecimento
Knowledge Base Contributor,Colaborador da Base de Conhecimento
Knowledge Base Editor,Editor da Base de Conhecimento
LDAP Auth,Autenticação LDAP
LDAP Custom Settings,Configurações personalizadas de LDAP
LDAP Email Field,Campo de e-mail LDAP
LDAP Group Mapping,Mapeamento de grupos LDAP
LDAP Group Member attribute,Atributo de membro de grupo LDAP
LDAP Not Installed,LDAP não instalado
"LDAP Search String must be enclosed in '()' and needs to contian the user placeholder {0}, eg sAMAccountName={0}","A string de pesquisa LDAP deve estar entre '()' e precisa conter o placeholder de usuário {0}, ex.: sAMAccountName={0}"
LDAP Search and Paths,Pesquisa e caminhos LDAP
LDAP Server Settings,Configurações do servidor LDAP
LDAP Server Url,URL do servidor LDAP
LDAP is not enabled.,LDAP não está habilitado.
LDAP search path for Groups,Caminho de pesquisa LDAP para Grupos
LDAP search path for Users,Caminho de pesquisa LDAP para Usuários
LDAP settings incorrect. validation response was: {0},Configurações LDAP incorretas. A resposta de validação foi: {0}
Label is mandatory,Rótulo é obrigatório
Landscape,Paisagem
Last,Último
Last 14 Days,Últimos 14 dias
Last 30 Days,Últimos 30 dias
Last 7 Days,Últimos 7 dias
Last 90 Days,Últimos 90 dias
Last Edited by {0},Última edição por {0}
Last Heartbeat,Último heartbeat
Last Modified Date,Data da última modificação
Last Modified On,Última modificação em
Last Received At,Último recebimento em
Last Reset Password Key Generated On,Última chave de redefinição de senha gerada em
Last Run,Última execução
Last Updated By,Última atualização por
Last synced {0},Última sincronização {0}
Layout,Layout
Layout Reset,Redefinir layout
"Layout will be reset to standard layout, are you sure you want to do this?","O layout será redefinido para o layout padrão, tem certeza que deseja fazer isso?"
Learn more,Saiba mais
Leave this conversation,Sair desta conversa
Ledger,Razão
Left Bottom,Esquerda inferior
Left Center,Centro esquerdo
Left this conversation,Saiu desta conversa
Legal,Legal
Length,Comprimento
Length of passed data array is greater than value of maximum allowed label points!,O comprimento do array de dados enviado é maior que o valor máximo permitido de pontos de rótulo!
Length of {0} should be between 1 and 1000,O comprimento de {0} deve estar entre 1 e 1000
Less,Menor
Less Than,Menor que
Less Than Or Equal To,Menor ou igual a
Let us continue with the onboarding,Vamos continuar com o onboarding
Let's Get Started,Vamos começar
Let's avoid repeated words and characters,Vamos evitar palavras e caracteres repetidos
Let's set up your account,Vamos configurar sua conta
Let's take you back to onboarding,Vamos levar você de volta ao onboarding
Letter Head Scripts,Scripts do cabeçalho
Letter Head cannot be both disabled and default,O cabeçalho não pode estar desativado e padrão ao mesmo tempo
Level,Nível
"Level 0 is for document level permissions, higher levels for field level permissions.","O nível 0 é para permissões em nível de documento; níveis superiores são para permissões em nível de campo."
License,Licença
License Type,Tipo de licença
Light Blue,Azul claro
Light Theme,Tema claro
Liked,Curtido
Liked By,Curtido por
Liked by me,Curtido por mim
Liked by {0} people,Curtido por {0} pessoas
Likes,Curtidas
Limit must be a non-negative integer,O limite deve ser um inteiro não negativo
Link,Link
Link Count,Contagem de links
Link Details,Detalhes do link
Link DocType,DocType do link
Link Document Type,Tipo de Documento do link
Link Expired,Link expirado
Link Field Results Limit,Limite de resultados do campo Link
Link Filters,Filtros de link
Link To in Row,Link para na linha
Link Type,Tipo de link
Link Type in Row,Tipo de link na linha
Link for About Us Page is "/about".,O link para a página Sobre Nós é "/about".
"Link that is the website home page. Standard Links (home, login, products, blog, about, contact)","Link que é a página inicial do site. Links padrão (home, login, products, blog, about, contact)"
Linked with {0},Vinculado com {0}
LinkedIn,LinkedIn
Links,Links
List / Search Settings,Configurações de Lista / Busca
List Columns,Listar colunas
List Filter,Filtro de lista
"List as [{\"label\": _(\"Jobs\"), \"route\":\"jobs\"}]","Liste como [{\"label\": _(\"Jobs\"), \"route\":\"jobs\"}]"
List of patches executed,Lista de patches executados
List setting message,Mensagem de configuração de lista
Lists,Listas
Load More Communications,Carregar mais comunicações
Load more,Carregar mais
Loading,Carregando
Loading Filters...,Carregando filtros...
Loading import file...,Carregando arquivo de importação...
Loading versions...,Carregando versões...
Loading...,Carregando...
Log API Requests,Registrar requisições de API
Log Data,Dados de log
Log DocType,DocType de log
Log In To {0},Entrar em {0}
Log Index,Índice de log
Log Setting User,Usuário de configuração de log
Log in to access this page.,Faça login para acessar esta página.
Log out,Sair
Logged Out,Desconectado
"Login Failed please try again","Falha no login, tente novamente"
Login Id is required,ID de login é obrigatório
Login Methods,Métodos de login
Login Page,Página de login
Login To {0},Entrar em {0}
Login Verification Code from {},Código de verificação de login de {}
Login and view in Browser,Fazer login e visualizar no navegador
Login is required to see web form list view. Enable {0} to see list settings,É necessário fazer login para ver a visualização de lista do formulário web. Habilite {0} para ver as configurações da lista
Login link sent to your email,Link de login enviado para seu e-mail
Login not allowed at this time,Login não permitido neste momento
Login required,Login obrigatório
"Login session expired, refresh page to retry","Sessão de login expirada, atualize a página para tentar novamente"
Login to comment,Faça login para comentar
Login to start a new discussion,Faça login para iniciar uma nova discussão
Login to view,Faça login para visualizar
Login to {0},Entrar em {0}
Login token required,Token de login obrigatório
Login with Frappe Cloud,Entrar com Frappe Cloud
Login with LDAP,Entrar com LDAP
Login with email link,Entrar com link por e-mail
Login with email link expiry (in minutes),Expiração do link de login por e-mail (em minutos)
Login with username and password is not allowed.,Login com usuário e senha não é permitido.
Login with {0},Entrar com {0}
Logo URI,URI do logo
Logo URL,URL do logo
Logout All Sessions,Encerrar todas as sessões
Logs To Clear,Logs a limpar
Logs to Clear,Logs a limpar
Looks like you didn't change the value,Parece que você não alterou o valor
Looks like you haven\u2019t received any notifications.,Parece que você ainda não recebeu nenhuma notificação.
Looks like you haven’t added any third party apps.,Parece que você não adicionou nenhum app de terceiros.
Low,Baixo
MIT License,Licença MIT
Maintenance Manager,Gerente de manutenção
Maintenance User,Usuário de manutenção
Major,Maior
Make "name" searchable in Global Search,Tornar "name" pesquisável na Busca Global
Make Attachment Public (by default),Tornar anexo público (por padrão)
Make Attachments Public by Default,Tornar anexos públicos por padrão
Make sure to configure a Social Login Key before disabling to prevent lockout,Certifique-se de configurar uma chave de Login Social antes de desabilitar para evitar bloqueio de acesso
Make use of longer keyboard patterns,Use padrões de teclado mais longos
Makes the page public,Torna a página pública
Manage 3rd party apps,Gerenciar apps de terceiros
Manage Billing,Gerenciar faturamento
Mandatory Depends On (JS),Depende obrigatoriamente de (JS)
Mandatory Information missing:,Informação obrigatória ausente:
Mandatory field: set role for,Campo obrigatório: definir perfil para
Mandatory field: {0},Campo obrigatório: {0}
"Mandatory fields required in table {0}, Row {1}","Campos obrigatórios requeridos na tabela {0}, linha {1}"
Mandatory fields required in {0},Campos obrigatórios requeridos em {0}
Mandatory fields required:,Campos obrigatórios requeridos:
Mandatory:,Obrigatório:
Map,Mapa
Map Columns,Mapear colunas
Map View,Visualização de mapa
Map columns from {0} to fields in {1},Mapear colunas de {0} para campos em {1}
Mapping column {0} to field {1},Mapeando coluna {0} para campo {1}
MariaDB Variables,Variáveis do MariaDB
Mark as Read,Marcar como lido
Mark as Spam,Marcar como spam
Mark as Unread,Marcar como não lido
Markdown,Markdown
Marked As Spam,Marcado como spam
Marketing Manager,Gerente de marketing
Mask,Máscara
Master,Mestre
Max 500 records at a time,Máximo de 500 registros por vez
Max File Size (MB),Tamanho máximo de arquivo (MB)
Max Height,Altura máxima
Max Report Rows,Máximo de linhas no relatório
Max attachment size,Tamanho máximo de anexo
Max auto email report per user,Máximo de relatórios automáticos por e-mail por usuário
Max signups allowed per hour,Máximo de cadastros permitidos por hora
Max width for type Currency is 100px in row {0},A largura máxima para o tipo Moeda é 100px na linha {0}
Maximum Attachment Limit of {0} has been reached for {1} {2}.,O limite máximo de anexos de {0} foi atingido para {1} {2}.
Maximum attachment limit of {0} has been reached.,O limite máximo de anexos de {0} foi atingido.
Maximum {0} rows allowed,Máximo de {0} linhas permitidas
Maybe,Talvez
Me,Eu
Meaning of Different Permission Types,Significado dos diferentes tipos de permissão
Medium,Médio
Meeting,Reunião
Meets Condition?,Atende à condição?
Memory Usage in MB,Uso de memória em MB
Menu,Menu
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,A mesclagem só é possível entre Grupo-para-Grupo ou Nó Folha-para-Nó Folha
Message Sent,Mensagem enviada
Message Type,Tipo de mensagem
Message clipped,Mensagem cortada
Message from server: {0},Mensagem do servidor: {0}
Message not setup,Mensagem não configurada
Message to be displayed on successful completion,Mensagem a ser exibida após conclusão com sucesso
Message-id,ID da mensagem
Messages,Mensagens
Meta,Meta
Meta Description,Meta descrição
Meta Image,Meta imagem
Meta Tags,Meta tags
Meta Title,Meta título
Meta description,Meta descrição
Meta image,Meta imagem
Meta title,Meta título
Meta title for SEO,Meta título para SEO
Metadata,Metadados
Method Not Allowed,Método não permitido
Method is required to create a number card,O método é obrigatório para criar um cartão numérico
Mid Center,Centro médio
Milestone Tracker,Rastreador de marcos
Minimum Password Score,Pontuação mínima de senha
Minor,Menor
Minutes,Minutos
Minutes After,Minutos depois
Minutes Before,Minutos antes
Minutes Offset,Deslocamento em minutos
Misconfigured,Configurado incorretamente
Missing DocType,DocType ausente
Missing Field,Campo ausente
Missing Fields,Campos ausentes
Missing Filters Required,Filtros obrigatórios ausentes
Missing Permission,Permissão ausente
Missing Value,Valor ausente
Missing Values Required,Valores obrigatórios ausentes
Mobile,Celular
Modal Trigger,Disparador de modal
Module (for export),Módulo (para exportação)
Module HTML,HTML do módulo
Module Onboarding,Onboarding do módulo
Module Profile Name,Nome do perfil do módulo
Module onboarding progress reset,Progresso de onboarding do módulo redefinido
Module to Export,Módulo para exportar
Module {} not found,Módulo {} não encontrado
Monday,Segunda-feira
Monospace,Monoespaçada
Month,Mês
More,Mais
More Info,Mais informações
More Options,Mais opções
More articles on {0},Mais artigos em {0}
Most probably your password is too long.,Muito provavelmente sua senha é longa demais.
Move To,Mover para
Move To Trash,Mover para a lixeira
Move current and all subsequent sections to a new tab,Mover a seção atual e todas as seções seguintes para uma nova aba
